"TIME","GEO","UNIT","NA_ITEM","Value"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Final consumption expenditure","98.4"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","93.8"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross capital formation","115.7"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,255,507.8"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Final consumption expenditure","6,904,032.7"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Final consumption expenditure of NPISH","116,798.7"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross capital formation","2,205,510.0"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","External balance of goods and services","145,965.1"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,591,182.1"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Final consumption expenditure","7,180,941.4"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","121,602.5"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross capital formation","2,276,886.7"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.2"
"2007","Euro area (19 countries)","Chain linked volumes, index 2010=100","Final consumption expenditure","98.5"
"2007","Euro area (19 countries)","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","93.6"
"2007","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross capital formation","116.2"
"2007","Euro area (19 countries)","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,403,064.3"
"2007","Euro area (19 countries)","Current prices, million euro","Final consumption expenditure","7,015,890.8"
"2007","Euro area (19 countries)","Current prices, million euro","Final consumption expenditure of NPISH","118,028.7"
"2007","Euro area (19 countries)","Current prices, million euro","Gross capital formation","2,252,209.4"
"2007","Euro area (19 countries)","Current prices, million euro","External balance of goods and services","134,964.1"
"2007","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,753,170.3"
"2007","Euro area (19 countries)","Chain linked volumes (2010), million euro","Final consumption expenditure","7,308,146.5"
"2007","Euro area (19 countries)","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","122,611.8"
"2007","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross capital formation","2,325,384.5"
"2007","Euro area (19 countries)","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.1"
"2007","Euro area (12 countries)","Chain linked volumes, index 2010=100","Final consumption expenditure","98.5"
"2007","Euro area (12 countries)","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","93.8"
"2007","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross capital formation","115.6"
"2007","Euro area (12 countries)","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,220,355.2"
"2007","Euro area (12 countries)","Current prices, million euro","Final consumption expenditure","6,879,980.6"
"2007","Euro area (12 countries)","Current prices, million euro","Final consumption expenditure of NPISH","116,499.5"
"2007","Euro area (12 countries)","Current prices, million euro","Gross capital formation","2,193,953.2"
"2007","Euro area (12 countries)","Current prices, million euro","External balance of goods and services","146,421.3"
"2007","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,553,555.2"
"2007","Euro area (12 countries)","Chain linked volumes (2010), million euro","Final consumption expenditure","7,154,597.5"
"2007","Euro area (12 countries)","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","121,277.3"
"2007","Euro area (12 countries)","Chain linked volumes (2010), million euro","Gross capital formation","2,264,641.5"
"2007","Euro area (12 countries)","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.8"
"2007","Belgium","Chain linked volumes, index 2010=100","Final consumption expenditure","95.3"
"2007","Belgium","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","76.3"
"2007","Belgium","Chain linked volumes, index 2010=100","Gross capital formation","106.0"
"2007","Belgium","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Belgium","Current prices, million euro","Gross domestic product at market prices","344,712.5"
"2007","Belgium","Current prices, million euro","Final consumption expenditure","247,277.8"
"2007","Belgium","Current prices, million euro","Final consumption expenditure of NPISH","3,392.4"
"2007","Belgium","Current prices, million euro","Gross capital formation","84,273.4"
"2007","Belgium","Current prices, million euro","External balance of goods and services","13,161.3"
"2007","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","360,715.1"
"2007","Belgium","Chain linked volumes (2010), million euro","Final consumption expenditure","262,634.6"
"2007","Belgium","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","3,618.7"
"2007","Belgium","Chain linked volumes (2010), million euro","Gross capital formation","87,785.7"
"2007","Belgium","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.6"
"2007","Bulgaria","Chain linked volumes, index 2010=100","Final consumption expenditure","100.4"
"2007","Bulgaria","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","84.4"
"2007","Bulgaria","Chain linked volumes, index 2010=100","Gross capital formation","137.6"
"2007","Bulgaria","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Bulgaria","Current prices, million euro","Gross domestic product at market prices","32,449.1"
"2007","Bulgaria","Current prices, million euro","Final consumption expenditure","27,647.6"
"2007","Bulgaria","Current prices, million euro","Final consumption expenditure of NPISH","107.0"
"2007","Bulgaria","Current prices, million euro","Gross capital formation","10,912.2"
"2007","Bulgaria","Current prices, million euro","External balance of goods and services","-6,110.7"
"2007","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","36,911.6"
"2007","Bulgaria","Chain linked volumes (2010), million euro","Final consumption expenditure","30,819.8"
"2007","Bulgaria","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","126.6"
"2007","Bulgaria","Chain linked volumes (2010), million euro","Gross capital formation","11,871.3"
"2007","Bulgaria","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Czech Republic","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.0"
"2007","Czech Republic","Chain linked volumes, index 2010=100","Final consumption expenditure","96.5"
"2007","Czech Republic","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","100.2"
"2007","Czech Republic","Chain linked volumes, index 2010=100","Gross capital formation","115.5"
"2007","Czech Republic","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Czech Republic","Current prices, million euro","Gross domestic product at market prices","138,302.9"
"2007","Czech Republic","Current prices, million euro","Final consumption expenditure","90,564.4"
"2007","Czech Republic","Current prices, million euro","Final consumption expenditure of NPISH","925.9"
"2007","Czech Republic","Current prices, million euro","Gross capital formation","44,356.9"
"2007","Czech Republic","Current prices, million euro","External balance of goods and services","3,381.5"
"2007","Czech Republic","Chain linked volumes (2010), million euro","Gross domestic product at market prices","156,760.3"
"2007","Czech Republic","Chain linked volumes (2010), million euro","Final consumption expenditure","105,520.9"
"2007","Czech Republic","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","1,075.5"
"2007","Czech Republic","Chain linked volumes (2010), million euro","Gross capital formation","49,099.8"
"2007","Czech Republic","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.8"
"2007","Denmark","Chain linked volumes, index 2010=100","Final consumption expenditure","98.7"
"2007","Denmark","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","98.1"
"2007","Denmark","Chain linked volumes, index 2010=100","Gross capital formation","134.1"
"2007","Denmark","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Denmark","Current prices, million euro","Gross domestic product at market prices","233,383.2"
"2007","Denmark","Current prices, million euro","Final consumption expenditure","167,627.4"
"2007","Denmark","Current prices, million euro","Final consumption expenditure of NPISH","3,335.4"
"2007","Denmark","Current prices, million euro","Gross capital formation","58,994.2"
"2007","Denmark","Current prices, million euro","External balance of goods and services","6,761.6"
"2007","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","252,307.4"
"2007","Denmark","Chain linked volumes (2010), million euro","Final consumption expenditure","179,981.3"
"2007","Denmark","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","3,680.7"
"2007","Denmark","Chain linked volumes (2010), million euro","Gross capital formation","58,960.0"
"2007","Denmark","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.7"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Final consumption expenditure","97.3"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","95.8"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross capital formation","106.5"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,513,230.0"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure","1,824,640.0"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of NPISH","36,004.0"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross capital formation","521,478.0"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","External balance of goods and services","167,112.0"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,598,378.4"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Final consumption expenditure","1,887,628.5"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","37,615.4"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross capital formation","539,310.2"
"2007","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","121.2"
"2007","Estonia","Chain linked volumes, index 2010=100","Final consumption expenditure","118.5"
"2007","Estonia","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","96.2"
"2007","Estonia","Chain linked volumes, index 2010=100","Gross capital formation","202.2"
"2007","Estonia","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Estonia","Current prices, million euro","Gross domestic product at market prices","16,246.4"
"2007","Estonia","Current prices, million euro","Final consumption expenditure","11,270.0"
"2007","Estonia","Current prices, million euro","Final consumption expenditure of NPISH","179.7"
"2007","Estonia","Current prices, million euro","Gross capital formation","6,383.6"
"2007","Estonia","Current prices, million euro","External balance of goods and services","-1,441.8"
"2007","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","17,843.4"
"2007","Estonia","Chain linked volumes (2010), million euro","Final consumption expenditure","12,620.3"
"2007","Estonia","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","201.2"
"2007","Estonia","Chain linked volumes (2010), million euro","Gross capital formation","6,332.0"
"2007","Estonia","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","107.2"
"2007","Ireland","Chain linked volumes, index 2010=100","Final consumption expenditure","105.1"
"2007","Ireland","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","94.3"
"2007","Ireland","Chain linked volumes, index 2010=100","Gross capital formation","165.4"
"2007","Ireland","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Ireland","Current prices, million euro","Gross domestic product at market prices","197,201.7"
"2007","Ireland","Current prices, million euro","Final consumption expenditure","122,996.9"
"2007","Ireland","Current prices, million euro","Final consumption expenditure of NPISH","1,662.2"
"2007","Ireland","Current prices, million euro","Gross capital formation","57,639.1"
"2007","Ireland","Current prices, million euro","External balance of goods and services","16,310.9"
"2007","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","179,675.3"
"2007","Ireland","Chain linked volumes (2010), million euro","Final consumption expenditure","116,943.2"
"2007","Ireland","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","1,720.2"
"2007","Ireland","Chain linked volumes (2010), million euro","Gross capital formation","47,846.4"
"2007","Ireland","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices","110.9"
"2007","Greece","Chain linked volumes, index 2010=100","Final consumption expenditure","104.9"
"2007","Greece","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","87.6"
"2007","Greece","Chain linked volumes, index 2010=100","Gross capital formation","168.8"
"2007","Greece","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Greece","Current prices, million euro","Gross domestic product at market prices","232,694.6"
"2007","Greece","Current prices, million euro","Final consumption expenditure","198,611.2"
"2007","Greece","Current prices, million euro","Final consumption expenditure of NPISH","3,783.0"
"2007","Greece","Current prices, million euro","Gross capital formation","63,132.6"
"2007","Greece","Current prices, million euro","External balance of goods and services","-29,049.2"
"2007","Greece","Chain linked volumes (2010), million euro","Gross domestic product at market prices","250,719.6"
"2007","Greece","Chain linked volumes (2010), million euro","Final consumption expenditure","217,099.8"
"2007","Greece","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","4,175.4"
"2007","Greece","Chain linked volumes (2010), million euro","Gross capital formation","65,058.8"
"2007","Greece","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.5"
"2007","Spain","Chain linked volumes, index 2010=100","Final consumption expenditure","100.2"
"2007","Spain","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","97.5"
"2007","Spain","Chain linked volumes, index 2010=100","Gross capital formation","130.1"
"2007","Spain","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Spain","Current prices, million euro","Gross domestic product at market prices","1,080,807.0"
"2007","Spain","Current prices, million euro","Final consumption expenditure","806,882.0"
"2007","Spain","Current prices, million euro","Final consumption expenditure of NPISH","10,016.0"
"2007","Spain","Current prices, million euro","Gross capital formation","338,676.0"
"2007","Spain","Current prices, million euro","External balance of goods and services","-64,751.0"
"2007","Spain","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,108,450.0"
"2007","Spain","Chain linked volumes (2010), million euro","Final consumption expenditure","842,298.0"
"2007","Spain","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","10,504.0"
"2007","Spain","Chain linked volumes (2010), million euro","Gross capital formation","331,201.0"
"2007","Spain","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.8"
"2007","France","Chain linked volumes, index 2010=100","Final consumption expenditure","96.9"
"2007","France","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","91.8"
"2007","France","Chain linked volumes, index 2010=100","Gross capital formation","112.0"
"2007","France","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","France","Current prices, million euro","Gross domestic product at market prices","1,945,670.0"
"2007","France","Current prices, million euro","Final consumption expenditure","1,501,661.0"
"2007","France","Current prices, million euro","Final consumption expenditure of NPISH","35,678.0"
"2007","France","Current prices, million euro","Gross capital formation","469,126.0"
"2007","France","Current prices, million euro","External balance of goods and services","-25,117.0"
"2007","France","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,015,415.0"
"2007","France","Chain linked volumes (2010), million euro","Final consumption expenditure","1,548,734.0"
"2007","France","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","36,388.0"
"2007","France","Chain linked volumes (2010), million euro","Gross capital formation","490,473.0"
"2007","France","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","107.3"
"2007","Croatia","Chain linked volumes, index 2010=100","Final consumption expenditure","105.9"
"2007","Croatia","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","97.4"
"2007","Croatia","Chain linked volumes, index 2010=100","Gross capital formation","139.1"
"2007","Croatia","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Croatia","Current prices, million euro","Gross domestic product at market prices","43,925.8"
"2007","Croatia","Current prices, million euro","Final consumption expenditure","34,070.8"
"2007","Croatia","Current prices, million euro","Final consumption expenditure of NPISH","386.9"
"2007","Croatia","Current prices, million euro","Gross capital formation","13,047.3"
"2007","Croatia","Current prices, million euro","External balance of goods and services","-3,192.3"
"2007","Croatia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","48,433.4"
"2007","Croatia","Chain linked volumes (2010), million euro","Final consumption expenditure","37,761.3"
"2007","Croatia","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","417.8"
"2007","Croatia","Chain linked volumes (2010), million euro","Gross capital formation","13,417.6"
"2007","Croatia","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices","105.1"
"2007","Italy","Chain linked volumes, index 2010=100","Final consumption expenditure","100.6"
"2007","Italy","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","100.1"
"2007","Italy","Chain linked volumes, index 2010=100","Gross capital formation","115.9"
"2007","Italy","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Italy","Current prices, million euro","Gross domestic product at market prices","1,609,550.8"
"2007","Italy","Current prices, million euro","Final consumption expenditure","1,258,248.4"
"2007","Italy","Current prices, million euro","Final consumption expenditure of NPISH","8,497.8"
"2007","Italy","Current prices, million euro","Gross capital formation","357,084.7"
"2007","Italy","Current prices, million euro","External balance of goods and services","-5,782.3"
"2007","Italy","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,687,143.2"
"2007","Italy","Chain linked volumes (2010), million euro","Final consumption expenditure","1,315,002.1"
"2007","Italy","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","8,783.9"
"2007","Italy","Chain linked volumes (2010), million euro","Gross capital formation","382,011.5"
"2007","Italy","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.7"
"2007","Cyprus","Chain linked volumes, index 2010=100","Final consumption expenditure","94.1"
"2007","Cyprus","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","94.5"
"2007","Cyprus","Chain linked volumes, index 2010=100","Gross capital formation","98.2"
"2007","Cyprus","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Cyprus","Current prices, million euro","Gross domestic product at market prices","17,591.0"
"2007","Cyprus","Current prices, million euro","Final consumption expenditure","14,118.8"
"2007","Cyprus","Current prices, million euro","Final consumption expenditure of NPISH","148.1"
"2007","Cyprus","Current prices, million euro","Gross capital formation","4,309.1"
"2007","Cyprus","Current prices, million euro","External balance of goods and services","-836.8"
"2007","Cyprus","Chain linked volumes (2010), million euro","Gross domestic product at market prices","18,670.8"
"2007","Cyprus","Chain linked volumes (2010), million euro","Final consumption expenditure","15,157.4"
"2007","Cyprus","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","159.5"
"2007","Cyprus","Chain linked volumes (2010), million euro","Gross capital formation","4,507.5"
"2007","Cyprus","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","126.1"
"2007","Latvia","Chain linked volumes, index 2010=100","Final consumption expenditure","123.8"
"2007","Latvia","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","127.7"
"2007","Latvia","Chain linked volumes, index 2010=100","Gross capital formation","250.8"
"2007","Latvia","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Latvia","Current prices, million euro","Gross domestic product at market prices","22,679.3"
"2007","Latvia","Current prices, million euro","Final consumption expenditure","17,572.5"
"2007","Latvia","Current prices, million euro","Final consumption expenditure of NPISH","211.6"
"2007","Latvia","Current prices, million euro","Gross capital formation","9,420.6"
"2007","Latvia","Current prices, million euro","External balance of goods and services","-4,313.8"
"2007","Latvia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","22,429.8"
"2007","Latvia","Chain linked volumes (2010), million euro","Final consumption expenditure","18,094.6"
"2007","Latvia","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","245.3"
"2007","Latvia","Chain linked volumes (2010), million euro","Gross capital formation","8,619.4"
"2007","Latvia","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","112.5"
"2007","Lithuania","Chain linked volumes, index 2010=100","Final consumption expenditure","116.4"
"2007","Lithuania","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","121.7"
"2007","Lithuania","Chain linked volumes, index 2010=100","Gross capital formation","153.7"
"2007","Lithuania","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Lithuania","Current prices, million euro","Gross domestic product at market prices","29,040.7"
"2007","Lithuania","Current prices, million euro","Final consumption expenditure","23,527.4"
"2007","Lithuania","Current prices, million euro","Final consumption expenditure of NPISH","67.1"
"2007","Lithuania","Current prices, million euro","Gross capital formation","9,324.8"
"2007","Lithuania","Current prices, million euro","External balance of goods and services","-3,811.5"
"2007","Lithuania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","31,542.0"
"2007","Lithuania","Chain linked volumes (2010), million euro","Final consumption expenditure","27,356.8"
"2007","Lithuania","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","77.4"
"2007","Lithuania","Chain linked volumes (2010), million euro","Gross capital formation","7,755.0"
"2007","Lithuania","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Luxembourg","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.0"
"2007","Luxembourg","Chain linked volumes, index 2010=100","Final consumption expenditure","95.5"
"2007","Luxembourg","Chain linked volumes, index 2010=100","Final consumption expenditure of NPISH","69.6"
"2007","Luxembourg","Chain linked volumes, index 2010=100","Gross capital formation","99.6"
"2007","Luxembourg","Chain linked volumes, index 2010=100","External balance of goods and services",":"
"2007","Luxembourg","Current prices, million euro","Gross domestic product at market prices","37,178.9"
"2007","Luxembourg","Current prices, million euro","Final consumption expenditure","17,667.4"
"2007","Luxembourg","Current prices, million euro","Final consumption expenditure of NPISH","416.4"
"2007","Luxembourg","Current prices, million euro","Gross capital formation","7,141.6"
"2007","Luxembourg","Current prices, million euro","External balance of goods and services","12,369.8"
"2007","Luxembourg","Chain linked volumes (2010), million euro","Gross domestic product at market prices","40,579.2"
"2007","Luxembourg","Chain linked volumes (2010), million euro","Final consumption expenditure","18,895.6"
"2007","Luxembourg","Chain linked volumes (2010), million euro","Final consumption expenditure of NPISH","388.5"
"2007","Luxembourg","Chain linked volumes (2010), million euro","Gross capital formation","7,159.6"
"2007","Luxembourg","Chain linked volumes (2010), million euro","External balance of goods and services",":"
"2007","Hungary","Chain linked volumes, index 2010=100","Gross domestic product at market prices","105.4"
"2007","Hungary","Chain linked volumes, index 2010=100","Final consumption expenditure","106.7"
